song,artist
Lay It Down,Ratt
Sentimental Street,Night Ranger
Lovin' Every Minute of it,Loverboy
The Sun Always Shines on T.V.,a-ha
She's Waiting,Eric Clapton
Trouble In Paradise,Huey Lewis and the News
Pleasure And Pain,diVINYLS
Go For Soda,Kim Mitchell
Make It Better (Forget About Me),Tom Petty and the Heartbreakers
What About Love?,Heart
Four In The Morning (I Can't Take Any More),Night Ranger
Follow Your Heart,Triumph
Election Day,Arcadia
Inside Out,Phil Collins
Livin' on a Prayer,Bon Jovi
Higher Love,Steve Winwood
(I Just) Died in Your Arms,Cutting Crew
Throwing It All Away,Genesis
Invisible Touch,Genesis
Sledgehammer,Peter Gabriel
Why Can't This Be Love,Van Halen
Addicted to Love,Robert Palmer
Don't Get Me Wrong,The Pretenders
The Way It Is,Bruce Hornsby
Amanda,Boston
Rock Me Amadeus ,Falco
The Lady in Red,Chris de Burgh
Holding Back the Years,Simply Red
Like a Rock,Bob Seger
Big Time,Peter Gabriel
Walk Like an Egyptian,The Bangles
Take Me Home Tonight,Eddie Money
I Can't Wait,Nu Shooz
Hip to Be Square,Huey Lewis & the News
The Final Countdown,Europe
Stuck with You, Huey Lewis & the News
These Dreams,Heart
C'est la vie,Robbie Nevil
I Want to Make the World Turn Around,Steve Miller Band
Eye Of The Zombie,John Fogerty
Harlem Shuffle,The Rolling Stones
American Storm,Bob Seger
Keep Your Hands To Yourself,Georgia Satellites
Stick Around,Julian Lennon
Missionary Man,Eurythmics
All the King's Horses,The Firm
Secret Separation,The Fixx
Give Blood,Pete Townshend
Day By Day,Hooters
To Be a Lover,Billy Idol
Venus,Bananarama
Fall On Me,R.E.M.
Stereotomy,Alan Parsons Project
I Can't Wait,Stevie Nicks
Somebody Like You,38 Special
Smoking Gun,The Robert Cray Band
"It's Not You, It's Not Me",KBC Band
Emotion in Motion,Ric Ocasek
In Your Eyes,Peter Gabriel
Life In A Northern Town,The Dream Academy
My Baby ,The Pretenders
Feel It Again,Honeymoon Suite
Don't Leave Me This Way,The Communards
Welcome To The Boomtown,David & David
Wrap It Up,The Fabulous Thunderbirds
We're Ready,Boston
Touch The Night,Neil Young
True Colors,Cyndi Lauper
It's You,Bob Seger & The Silver Bullet Band
True To You,Ric Ocasek
Your Wildest Dreams,The Moody Blues
No Promises,Icehouse
What You Need,INXS
Somebody's Out There,Triumph
So You Want To Be A Rock & Roll Star,Tom Petty and the Heartbreakers
The Aftermath,Bob Seger & The Silver Bullet Band
I Wanna Go Back,Eddie Money
What About Love,Til Tuesday
Dancin' In The Ruins,Blue Oyster Cult
It's in the Way That You Use It,Eric Clapton
Fortunate Son,Bob Seger & The Silver Bullet Band
Be Good to Yourself,Journey
Manhattan Project,Rush
Shot In The Dark, Ozzy Osbourne
Winning Ugly,The Rolling Stones
Tobacco Road,David Lee Roth
Yankee Rose,David Lee Roth
Don't Stand So Close To Me '86,The Police
The Other Side Of Life,The Moody Blues
Let Me Down Easy,Roger Daltrey
Right And Wrong,Joe Jackson
Suzanne,Journey
The Next Time I Fall,Peter Cetera & Amy Grant
Superstition,Stevie Ray Vaughan and Double Trouble
You Give Love a Bad Name,Bon Jovi
Shelter Me,Joe Cocker
Girl Can't Help It,Journey
Reelin' & Rockin',George Thorogood & The Destroyers
War,Bruce Springsteen
Quicksilver Lightning,Roger Daltrey
Ship of Fools (Save Me from Tomorrow),World Party
Strength,The Alarm
Best Of Both Worlds,Van Halen
Tuff Enuff,The Fabulous Thunderbirds
Listen Like Thieves,INXS
Goin' Crazy!,David Lee Roth
No Easy Way Out,Robert Tepper
When the Heart Rules the Mind,GTR
With or without You,U2
My Baby,The Pretenders
Livin' On A Prayer,Bon Jovi
Shakedown,Bob Seger
It's In The Way That You Use It,Eric Clapton
Midnight Blue,Lou Gramm
Tunnel of Love,Bruce Springsteen 
Paper In Fire,John Cougar Mellencamp
Devil Inside,INXS
Mandolin Rain,Bruce Hornsby
I Still Haven't Found What I'm Looking For,U2
Brilliant Disguise,Bruce Springsteen
Touch of Grey,Grateful Dead
Jammin' Me,Tom Petty and the Heartbreakers
What Have I Done to Deserve This?,Pet Shop Boys & Dusty Springfield
Cherry Bomb,John Cougar Mellencamp
Always on My Mind,Pet Shop Boys
Smoking Gun,Robert Cray Band
Big Love,Fleetwood Mac
Don't Mean Nothing,Richard Marx
Don't Shed a Tear,Paul Carrack
Alone,Heart
Give to Live,Sammy Hagar
(I Just) Died In Your Arms,Cutting Crew
Love Will Find a Way, Yes
When We Was Fab,George Harrison
Pour Some Sugar on Me,Def Leppard
One Step Up,Bruce Springsteen
Hysteria,Def Leppard
Got My Mind Set on You,George Harrison
The One I Love,R.E.M.
Here I Go Again,Whitesnake
Who Will You Run To,Heart
Ship Of Fools (Save Me From Tomorrow),World Party
Heat of the Night,Bryan Adams
It's a Sin,Pet Shop Boys
Tearing Us Apart,Eric Clapton
On the Turning Away,Pink Floyd
Learning to Fly,Pink Floyd
The Best Man In The World,Ann Wilson
Into The Fire,Bryan Adams
Come As You Are,Peter Wolf
On The Western Skyline,Bruce Hornsby and the Range
Runaway Trains,Tom Petty and the Heartbreakers
Everywhere,Fleetwood Mac 
Ready Or Not,Lou Gramm
Farm On The Freeway,Jethro Tull
Time Will Crawl,David Bowie
Goodbye Saving Grace,Jon Butcher
Shake Your Love,Debbie Gibson
(Sittin' on) The Dock of the Bay,Michael Bolton
Weapons Of Love,The Truth
Jane's Getting Serious,Jon Astley
Throwaway,Mick Jagger
Walk the Dinosaur,Was (Not Was)
Women,Def Leppard
When Smokey Sings,ABC
I Heard a Rumour,Bananarama
America,KBC Band
Ghost On The Beach,Insiders
Stand Back,The Fabulous Thunderbirds
The Radio Song,Joe Walsh
I'm No Angel,Gregg Allman Band
Notorious,Loverboy
You Are the Girl,The Cars
Seven Wonders,Fleetwood Mac
Nobody But You Baby,Steve Miller Band
Dirty Water,Rock and Hyde
The Real Life,John Mellencamp
Sentimental Hygiene,Warren Zevon
You Win Again,Bee Gees
Don't Need A Gun,Billy Idol
Hard Times For An Honest Man,John Cougar Mellencamp
Walk On Fire,Little America
Rhythm of Love,Yes
Victim Of Love,Bryan Adams
Steel Monkey,Jethro Tull
Heartbreak Beat,Psychedelic Furs
The Finer Things,Steve Winwood
Unchain My Heart,Joe Cocker
Little Wing,Sting
Day-In Day-Out,David Bowie
Battleship Chains,Georgia Satellites
There's the Girl,Heart
Since You've Been Gone,The Outfield
Showdown at Big Sky,Robbie Robertson
Gypsy Blood,Mason Ruffner
Animal,Def Leppard
Spanish Eyes,U2
Good Times,INXS & Jimmy Barnes
Only in My Dreams,Debbie Gibson
The Secret Of My Success,Night Ranger
Radio Waves,Roger Waters
Miss You,Eric Clapton
Truck Drivin' Man,Lynyrd Skynyrd
Hearts on Fire,Bryan Adams
Rock Me,Great White
Satellite,Hooters
Orange Crush,R.E.M.
Angel of Harlem,U2
Desire,U2
The Valley Road,Bruce Hornsby and the Range
Roll with It,Steve Winwood
On The Turning Away,Pink Floyd
When Love Comes to Town,U2
Simply Irresistible,Robert Palmer
Just Like Paradise,David Lee Roth
Orinoco Flow (Sail Away),Enya
Don't You Know What the Night Can Do?,Steve Winwood
Patience,Guns N' Roses
Dear God,Midge Ure
When It's Love,Van Halen
Tall Cool One,Robert Plant
Heaven Knows,Robert Plant
Let It Roll,Little Feat
Can't Get Over You,Gregg Allman Band
Powerful Stuff,The Fabulous Thunderbirds
Put This Love To The Test,Jon Astley
Too Much Ain't Enough Love,Jimmy Barnes
Peek-a-Boo,Siouxsie & the Banshees
Love Bites,Def Leppard
Take It So Hard,Keith Richards
Born To Be Bad,George Thorogood & The Destroyers
When the Children Cry,White Lion
Angel,Aerosmith
The Love in Your Eyes,Eddie Money
Hate to Lose Your Lovin',Little Feat
No Smoke Without A Fire,Bad Company
Black and Blue,Van Halen
Something So Strong,Jim Capaldi
Get It On,Kingdom Come
Walk on Water,Eddie Money
You Talk Too Much,George Thorogood & The Destroyers
A Little Respect,Erasure
Don't Be Afraid Of The Dark,Robert Cray Band
American Dream,"Crosby, Stills, Nash & Young"
Foolish Beat,Debbie Gibson
The Flame,Cheap Trick
What I Am,Edie Brickell & New Bohemians
Armageddon It,Def Leppard
I Wish I Had a Girl,Henry Lee Summer
After Midnight,Eric Clapton
Got It Made,"Crosby, Stills & Nash"
The Real Life,John Cougar Mellencamp
Wasting My Time,Jimmy Page
Bad Medicine,Bon Jovi
Don't Shed A Tear,Paul Carrack
Stand Up,David Lee Roth
It's Money That Matters,Randy Newman
All That Heaven Will Allow,Bruce Springsteen
Finish What Ya Started,Van Halen
(Nothing But) Flowers,Talking Heads
Rock & Roll Strategy,Thirty Eight Special
Silvio,Bob Dylan
Charlotte Anne,Julian Cope
Holding On,Steve Winwood
"Wild, Wild West",The Escape Club
Stand,R.E.M.
Back On The Breadline ,Hunters & Collectors
Rhythm Of Love,Scorpions
In God's Country,U2
Fine Time,New Order
Ten Men Workin',Neil Young & The Bluenotes
Look Away,Chicago
Away,The Feelies
All Fired Up,Pat Benatar
Open All Night,Georgia Satellites
Be Still My Beating Heart,Sting
Look Out Any Window,Bruce Hornsby
Jane Says,Jane's Addiction
Up There Down There,Patti Smith
All That Money Wants,Psychedelic Furs
Intoxication,Shriekback
I'm Not Your Man,Tommy Conwell & the Young Rumblers
Rev It Up,Jerry Harrison: Casual Gods
Sweet Fire Of Love,Robbie Robertson
Handle with Care,The Traveling Wilburys
Only a Memory,The Smithereens
Heart Turns To Stone,Foreigner
I've Got A Feeling,The Screaming Tribesmen
Rooty Toot Toot,John Cougar Mellencamp
Just Play Music!,Big Audio Dynamite
Slow Turning,John Hiatt
Christine,The House Of Love
Way Behind Me,The Primitives
Under the Milky Way,The Church
Fight (No Matter How Long),The Bunburys
I Know You're Out There Somewhere,The Moody Blues
Never Tear Us Apart,INXS
Hold on to the Nights,Richard Marx
Common Ground,Rhythm Corps
Save Your Love,Great White
Superstitious,Europe
I'm an Adult Now,The Pursuit of Happiness
